Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C2, C3, C4",C_Disc_D4.3mm_W1.9mm_P5.00mm,8,0.1uF,
C15,CP_Radial_D5.0mm_P2.00mm,1,10uF,
C5,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,0.1,
"C6, C7, C8, C9",C_Disc_D4.3mm_W1.9mm_P5.00mm,4,22pF,
J10,PinHeader_2x01_P2.54mm_Vertical,1,Conn_02x01,
J11,CUI_RCJ-017,1,RCJ-017,
"J12, J4, J7",PinHeader_2x03_P2.54mm_Vertical,3,Conn_02x03_Odd_Even,
J2,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
J5,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J6,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Male,
J8,BarrelJack_CUI_PJ-063AH_Horizontal,1,Barrel_Jack,
J9,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11_Male,
P1,Connector_Mini-DIN_Female_6Pin_2rows,1,Mini-DIN_6pins,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
"R2, R3, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,10k,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470 Ohms,
RV1,Potentiometer_Bourns_3386C_Horizontal,1,R_POT_TRIM_US,
SW1,SW_PUSH_6mm_H5mm,1,RESET,
U1,DIP-40_W15.24mm_Socket_LongPads,1,WD65C02,
U2,DIP-28_W15.24mm_Socket_LongPads,1,28C256,
U3,WC1602A,1,WC1602A,
U4,DIP-14_W7.62mm_Socket_LongPads,1,74HC00,
U5,DIP-40_W15.24mm_Socket_LongPads,1,WD65C22,
U6,DIP-28_W15.24mm_Socket_LongPads,1,CY62256-70PC,
U7,DIP-28_W15.24mm_Socket_LongPads,1,6551,
U8,DIP-16_W7.62mm_Socket_LongPads,1,74HC166,
"UA1, UB1",DIP-28_W7.62mm_Socket_LongPads,2,ATmega328P-PU,
X1,Oscillator_DIP-14,1,ACO-1.8432MHz,
Y1,Crystal_HC49-4H_Vertical,1,11.0582 MHz,
Y2,Crystal_HC49-4H_Vertical,1,16 MHz,
