Designator,Mid X,Mid Y,Rotation,Layer
C1,109.22,-39.029,90.0,top
C10,80.01,-108.625,90.0,top
C11,126.365,-108.545,90.0,top
C12,57.571,-76.581,0.0,top
C14,107.315,-90.21,90.0,top
C15,193.278,-119.634,0.0,top
C2,48.895,-108.625,90.0,top
C3,154.94,-39.029,90.0,top
C4,48.26,-63.46,90.0,top
C5,48.26,-38.949,90.0,top
C6,158.12,-122.0,90.0,top
C7,139.12,-122.0,90.0,top
C8,95.0,-122.0,90.0,top
C9,114.0,-122.0,90.0,top
J10,182.372,-21.463,270.0,top
J11,37.25,-88.5,0.0,top
J12,119.27,-23.0,0.0,top
J2,205.105,-55.6895,0.0,top
J3,163.576,-20.193,90.0,top
J4,65.532,-121.222,90.0,top
J5,204.914,-94.869,0.0,top
J6,30.353,-39.624,180.0,top
J7,175.133,-21.463,90.0,top
J8,204.298,-113.919,90.0,top
J9,142.113,-20.193,90.0,top
P1,36.178,-107.793,270.0,top
R1,41.3385,-47.5615,180.0,top
R2,51.0,-121.0,90.0,top
R3,55.0,-120.81,90.0,top
R4,81.0,-121.19,90.0,top
R5,84.15,-121.19,90.0,top
R6,87.3,-121.19,90.0,top
RV1,119.54,-98.0,270.0,top
SW1,41.366,-39.168,90.0,top
U1,78.105,-38.989,90.0,top
U2,131.445,-38.989,90.0,top
U3,153.53945,-72.52335,0.0,top
U4,57.658,-90.932,0.0,top
U5,78.105,-63.5,90.0,top
U6,177.165,-38.989,90.0,top
U7,84.201,-90.805,270.0,top
U8,63.5,-108.585,90.0,top
UA1,148.59,-108.585,90.0,top
UB1,102.235,-108.585,90.0,top
X1,34.671,-66.929,270.0,top
Y1,148.56,-122.0,0.0,top
Y2,104.49,-122.0,0.0,top
